porsiyon,hazirlik_suresi,pisirme_suresi,deftere_ekleme,yorum_sayisi
6-8 kişilik,15dk Hazırlık,25dk Pişirme,62bin,446
6-8 kişilik,5dk Hazırlık,30dk Pişirme,60bin,429
4-6 kişilik,30dk Hazırlık,10dk Pişirme,60bin,350
2-4 kişilik,10dk Hazırlık,30dk Pişirme,58bin,455
6-8 kişilik,2 saat Hazırlık,Pişirme yok,54bin,394
8-10 kişilik,10dk Hazırlık,30dk Pişirme,54bin,372
10-12 kişilik,30dk Hazırlık,30dk Pişirme,54bin,560
10-12 kişilik,20dk Hazırlık,45dk Pişirme,52bin,483
6-8 kişilik,45dk Hazırlık,20dk Pişirme,52bin,337
4-6 kişilik,10dk Hazırlık,10dk Pişirme,51bin,690
4-6 kişilik,15dk Hazırlık,15dk Pişirme,51bin,198
6-8 kişilik,30dk Hazırlık,Pişirme yok,51bin,622
2-4 kişilik,10dk Hazırlık,20dk Pişirme,51bin,2912
4-6 kişilik,10dk Hazırlık,20dk Pişirme,50bin,727
8-10 kişilik,5dk Hazırlık,15dk Pişirme,50bin,498
12-14 kişilik,25dk Hazırlık,35dk Pişirme,49bin,653
6-8 kişilik,15dk Hazırlık,40dk Pişirme,48bin,105
4-6 kişilik,10dk Hazırlık,10dk Pişirme,47bin,85
8-10 kişilik,15dk Hazırlık,30dk Pişirme,47bin,2780
6-8 kişilik,40dk Hazırlık,20dk Pişirme,47bin,237
2-4 kişilik,5dk Hazırlık,15dk Pişirme,47bin,262
4-6 kişilik,30dk Hazırlık,35dk Pişirme,46bin,455
8-10 kişilik,20dk Hazırlık,20dk Pişirme,45bin,722
12-14 kişilik,40dk Hazırlık,30dk Pişirme,44bin,572
4-6 kişilik,25dk Hazırlık,30dk Pişirme,44bin,238
10-12 kişilik,1 saat 30dk Hazırlık,35dk Pişirme,44bin,234
8-10 kişilik,40dk Hazırlık,25dk Pişirme,42bin,877
8-10 kişilik,1 saat Hazırlık,30dk Pişirme,42bin,291
6-8 kişilik,15dk Hazırlık,30dk Pişirme,42bin,205
6-8 kişilik,20dk Hazırlık,30dk Pişirme,40bin,309
4-6 kişilik,15dk Hazırlık,35dk Pişirme,39bin,205
6-8 kişilik,1 saat Hazırlık,20dk Pişirme,39bin,2806
6-8 kişilik,15dk Hazırlık,20dk Pişirme,38bin,151
4-6 kişilik,10dk Hazırlık,15dk Pişirme,38bin,213
12-14 kişilik,10dk Hazırlık,35dk Pişirme,38bin,312
12-14 kişilik,40dk Hazırlık,45dk Pişirme,37bin,209
4-6 kişilik,15dk Hazırlık,20dk Pişirme,37bin,1056
4-6 kişilik,30dk Hazırlık,30dk Pişirme,36bin,595
4-6 kişilik,20dk Hazırlık,20dk Pişirme,36bin,342
12-14 kişilik,20dk Hazırlık,35dk Pişirme,35bin,115
2-4 kişilik,15dk Hazırlık,20dk Pişirme,35bin,457
6-8 kişilik,2 saat Hazırlık,45dk Pişirme,35bin,128
6-8 kişilik,15dk Hazırlık,20dk Pişirme,34bin,213
6-8 kişilik,15dk Hazırlık,25dk Pişirme,34bin,393
10-12 kişilik,40dk Hazırlık,30dk Pişirme,33bin,431
6-8 kişilik,15dk Hazırlık,50dk Pişirme,77bin,1703
6-8 kişilik,20dk Hazırlık,10dk Pişirme,33bin,942
10-12 kişilik,35dk Hazırlık,35dk Pişirme,33bin,727
6-8 kişilik,20dk Hazırlık,20dk Pişirme,32bin,523
8-10 kişilik,1 saat 30dk Hazırlık,Pişirme yok,32bin,312
6-8 kişilik,10dk Hazırlık,15dk Pişirme,29bin,124
4-6 kişilik,1 saat Hazırlık,20dk Pişirme,29bin,153
14-16 kişilik,40dk Hazırlık,25dk Pişirme,28bin,198
1-2 kişilik,5dk Hazırlık,5dk Pişirme,27bin,4551
4-6 kişilik,15dk Hazırlık,15dk Pişirme,28bin,86
4-6 kişilik,15dk Hazırlık,10dk Pişirme,27bin,115
6-8 kişilik,40dk Hazırlık,30dk Pişirme,27bin,306
12-14 kişilik,5dk Hazırlık,25dk Pişirme,27bin,210
10-12 kişilik,1 saat Hazırlık,15dk Pişirme,26bin,500
6-8 kişilik,1 saat Hazırlık,20dk Pişirme,26bin,120
4-6 kişilik,15dk Hazırlık,15dk Pişirme,26bin,116
6-8 kişilik,20dk Hazırlık,Pişirme yok,26bin,166
4-6 kişilik,15dk Hazırlık,20dk Pişirme,26bin,417
6-8 kişilik,20dk Hazırlık,35dk Pişirme,26bin,595
8-10 kişilik,45dk Hazırlık,30dk Pişirme,25bin,144
4-6 kişilik,20dk Hazırlık,30dk Pişirme,25bin,331
8-10 kişilik,20dk Hazırlık,35dk Pişirme,25bin,98
6-8 kişilik,10dk Hazırlık,30dk Pişirme,23bin,265
8-10 kişilik,1 saat 30dk Hazırlık,Pişirme yok,24bin,204
8-10 kişilik,10dk Hazırlık,35dk Pişirme,23bin,801
2-4 kişilik,15dk Hazırlık,10dk Pişirme,23bin,404
4-6 kişilik,10dk Hazırlık,Pişirme yok,22bin,158
8-10 kişilik,50dk Hazırlık,50dk Pişirme,21bin,226
6-8 kişilik,30dk Hazırlık,20dk Pişirme,21bin,335
4-6 kişilik,45dk Hazırlık,Pişirme yok,2bin,31
4-6 kişilik,15dk Hazırlık,10dk Pişirme,21bin,71
1-2 kişilik,5dk Hazırlık,Pişirme yok,21bin,165
4-6 kişilik,20dk Hazırlık,10dk Pişirme,21bin,64
4-6 kişilik,10dk Hazırlık,1 saat 15dk Pişirme,21bin,191
4-6 kişilik,20dk Hazırlık,40dk Pişirme,20bin,133
1-2 kişilik,1 saat Hazırlık,15dk Pişirme,21bin,229
6-8 kişilik,30dk Hazırlık,30dk Pişirme,20bin,129
8-10 kişilik,1 saat 30dk Hazırlık,30dk Pişirme,21bin,1160
10-12 kişilik,20dk Hazırlık,35dk Pişirme,20bin,68
8-10 kişilik,30dk Hazırlık,35dk Pişirme,20bin,178
6-8 kişilik,20dk Hazırlık,15dk Pişirme,20bin,133
4-6 kişilik,10dk Hazırlık,20dk Pişirme,20bin,83
4-6 kişilik,50dk Hazırlık,30dk Pişirme,20bin,121
6-8 kişilik,15dk Hazırlık,20dk Pişirme,19bin,393
2-4 kişilik,10dk Hazırlık,10dk Pişirme,20bin,89
6-8 kişilik,20dk Hazırlık,10dk Pişirme,19bin,727
6-8 kişilik,15dk Hazırlık,20dk Pişirme,19bin,35
4-6 kişilik,40dk Hazırlık,25dk Pişirme,19bin,167
2-4 kişilik,20dk Hazırlık,30dk Pişirme,19bin,297
6-8 kişilik,15dk Hazırlık,20dk Pişirme,19bin,57
6-8 kişilik,30dk Hazırlık,35dk Pişirme,18bin,79
6-8 kişilik,1 saat Hazırlık,35dk Pişirme,18bin,132
4-6 kişilik,45dk Hazırlık,35dk Pişirme,18bin,1669
4-6 kişilik,5dk Hazırlık,45dk Pişirme,17bin,179
6-8 kişilik,15dk Hazırlık,20dk Pişirme,41bin,603
4-6 kişilik,10dk Hazırlık,15dk Pişirme,17bin,34
6-8 kişilik,10dk Hazırlık,40dk Pişirme,17bin,404
6-8 kişilik,15dk Hazırlık,25dk Pişirme,17bin,258
6-8 kişilik,15dk Hazırlık,35dk Pişirme,17bin,307
6-8 kişilik,1 saat 30dk Hazırlık,40dk Pişirme,17bin,153
4-6 kişilik,35dk Hazırlık,35dk Pişirme,17bin,181
4-6 kişilik,25dk Hazırlık,15dk Pişirme,17bin,89
6-8 kişilik,5dk Hazırlık,10dk Pişirme,17bin,25
10-12 kişilik,30dk Hazırlık,30dk Pişirme,17bin,101
8-10 kişilik,1 saat Hazırlık,10dk Pişirme,17bin,560
2-4 kişilik,15dk Hazırlık,20dk Pişirme,17bin,848
6-8 kişilik,10dk Hazırlık,15dk Pişirme,16bin,43
10-12 kişilik,40dk Hazırlık,Pişirme yok,17bin,457
6-8 kişilik,1 saat 15dk Hazırlık,50dk Pişirme,17bin,230
4-6 kişilik,5dk Hazırlık,30dk Pişirme,16bin,95
6-8 kişilik,20dk Hazırlık,10dk Pişirme,16bin,50
4-6 kişilik,5dk Hazırlık,4 saat üzeri Pişirme,16bin,522
4-6 kişilik,30dk Hazırlık,30dk Pişirme,16bin,142
4-6 kişilik,30dk Hazırlık,10dk Pişirme,15bin,78
4-6 kişilik,50dk Hazırlık,20dk Pişirme,15bin,70
12-14 kişilik,25dk Hazırlık,40dk Pişirme,15bin,109
4-6 kişilik,15dk Hazırlık,15dk Pişirme,15bin,250
12-14 kişilik,20dk Hazırlık,25dk Pişirme,15bin,153
4-6 kişilik,20dk Hazırlık,25dk Pişirme,15bin,105
8-10 kişilik,35dk Hazırlık,30dk Pişirme,15bin,405
4-6 kişilik,10dk Hazırlık,20dk Pişirme,14bin,112
4-6 kişilik,10dk Hazırlık,20dk Pişirme,15bin,40
4-6 kişilik,20dk Hazırlık,20dk Pişirme,15bin,193
4-6 kişilik,10dk Hazırlık,20dk Pişirme,15bin,74
4-6 kişilik,15dk Hazırlık,15dk Pişirme,15bin,98
4-6 kişilik,20dk Hazırlık,20dk Pişirme,14bin,168
4-6 kişilik,15dk Hazırlık,25dk Pişirme,14bin,28
6-8 kişilik,10dk Hazırlık,45dk Pişirme,14bin,240
4-6 kişilik,10dk Hazırlık,5dk Pişirme,14bin,147
4-6 kişilik,20dk Hazırlık,15dk Pişirme,14bin,480
4-6 kişilik,1 saat Hazırlık,5dk Pişirme,14bin,146
12-14 kişilik,2 saat 30dk Hazırlık,45dk Pişirme,14bin,154
10-12 kişilik,5dk Hazırlık,20dk Pişirme,13bin,79
4-6 kişilik,10dk Hazırlık,15dk Pişirme,31bin,429
6-8 kişilik,25dk Hazırlık,30dk Pişirme,13bin,213
4-6 kişilik,30dk Hazırlık,20dk Pişirme,13bin,250
4-6 kişilik,15dk Hazırlık,20dk Pişirme,13bin,154
4-6 kişilik,15dk Hazırlık,40dk Pişirme,13bin,77
6-8 kişilik,30dk Hazırlık,35dk Pişirme,13bin,251
6-8 kişilik,25dk Hazırlık,25dk Pişirme,12bin,72
12-14 kişilik,15dk Hazırlık,20dk Pişirme,12bin,55
4-6 kişilik,1 saat Hazırlık,1 saat Pişirme,12bin,59
4-6 kişilik,10dk Hazırlık,25dk Pişirme,28bin,258
10-12 kişilik,20dk Hazırlık,45dk Pişirme,12bin,45
4-6 kişilik,5dk Hazırlık,20dk Pişirme,12bin,483
8-10 kişilik,20dk Hazırlık,30dk Pişirme,12bin,38
6-8 kişilik,20dk Hazırlık,25dk Pişirme,11bin,123
6-8 kişilik,15dk Hazırlık,40dk Pişirme,11bin,1103
8-10 kişilik,25dk Hazırlık,40dk Pişirme,11bin,205
4-6 kişilik,20dk Hazırlık,25dk Pişirme,11bin,172
8-10 kişilik,30dk Hazırlık,30dk Pişirme,12bin,145
10-12 kişilik,40dk Hazırlık,30dk Pişirme,11bin,197
4-6 kişilik,15dk Hazırlık,15dk Pişirme,11bin,669
8-10 kişilik,5dk Hazırlık,25dk Pişirme,11bin,214
4-6 kişilik,20dk Hazırlık,50dk Pişirme,11bin,126
6-8 kişilik,10dk Hazırlık,35dk Pişirme,26bin,1104
4-6 kişilik,20dk Hazırlık,15dk Pişirme,26bin,480
4-6 kişilik,2 saat Hazırlık,20dk Pişirme,11bin,149
4-6 kişilik,5dk Hazırlık,45dk Pişirme,11bin,179
6-8 kişilik,30dk Hazırlık,15dk Pişirme,11bin,35
4-6 kişilik,10dk Hazırlık,5dk Pişirme,11bin,295
6-8 kişilik,15dk Hazırlık,30dk Pişirme,25bin,272
10-12 kişilik,45dk Hazırlık,40dk Pişirme,10bin,80
8-10 kişilik,25dk Hazırlık,10dk Pişirme,10bin,84
1-2 kişilik,10dk Hazırlık,10dk Pişirme,10bin,49
6-8 kişilik,10dk Hazırlık,35dk Pişirme,10bin,26
6-8 kişilik,35dk Hazırlık,5dk Pişirme,2bin,12
8-10 kişilik,20dk Hazırlık,30dk Pişirme,10bin,44
12-14 kişilik,1 saat Hazırlık,35dk Pişirme,10bin,89
10-12 kişilik,10dk Hazırlık,45dk Pişirme,10bin,232
6-8 kişilik,20dk Hazırlık,15dk Pişirme,10bin,54
2-4 kişilik,15dk Hazırlık,20dk Pişirme,23bin,148
12-14 kişilik,1 saat 30dk Hazırlık,15dk Pişirme,23bin,323
6-8 kişilik,5dk Hazırlık,1 saat 30dk Pişirme,80,2
2-4 kişilik,15dk Hazırlık,35dk Pişirme,29,0
2-4 kişilik,25dk Hazırlık,35dk Pişirme,24,0
2-4 kişilik,5dk Hazırlık,40dk Pişirme,150,0
6-8 kişilik,10dk Hazırlık,20dk Pişirme,6,0
1-2 kişilik,15dk Hazırlık,10dk Pişirme,5,0
4-6 kişilik,25dk Hazırlık,25dk Pişirme,472,3
6-8 kişilik,15dk Hazırlık,20dk Pişirme,15,0
6-8 kişilik,10dk Hazırlık,30dk Pişirme,509,2
1-2 kişilik,5dk Hazırlık,15dk Pişirme,418,12
2-4 kişilik,15dk Hazırlık,25dk Pişirme,12,0
2-4 kişilik,10dk Hazırlık,40dk Pişirme,315,0
8-10 kişilik,45dk Hazırlık,1 saat 30dk Pişirme,15,4
4-6 kişilik,35dk Hazırlık,35dk Pişirme,7,0
4-6 kişilik,15dk Hazırlık,15dk Pişirme,15,0
4-6 kişilik,10dk Hazırlık,30dk Pişirme,35,0
8-10 kişilik,30dk Hazırlık,15dk Pişirme,20,0
6-8 kişilik,5dk Hazırlık,30dk Pişirme,63,10
1-2 kişilik,5dk Hazırlık,25dk Pişirme,3bin,9
12-14 kişilik,20dk Hazırlık,45dk Pişirme,8,0
4-6 kişilik,5dk Hazırlık,40dk Pişirme,34,0
2-4 kişilik,15dk Hazırlık,30dk Pişirme,10,0
1-2 kişilik,5dk Hazırlık,10dk Pişirme,35,0
2-4 kişilik,10dk Hazırlık,10dk Pişirme,30,0
2-4 kişilik,10dk Hazırlık,30dk Pişirme,13,0
4-6 kişilik,15dk Hazırlık,15dk Pişirme,140,0
4-6 kişilik,20dk Hazırlık,25dk Pişirme,43,0
2-4 kişilik,10dk Hazırlık,20dk Pişirme,989,5
2-4 kişilik,10dk Hazırlık,30dk Pişirme,34,0
2-4 kişilik,10dk Hazırlık,15dk Pişirme,179,2
2-4 kişilik,20dk Hazırlık,25dk Pişirme,622,0
2-4 kişilik,5dk Hazırlık,20dk Pişirme,27,0
4-6 kişilik,10dk Hazırlık,25dk Pişirme,13,0
8-10 kişilik,40dk Hazırlık,25dk Pişirme,30,0
6-8 kişilik,10dk Hazırlık,Pişirme yok,32,0
2-4 kişilik,15dk Hazırlık,15dk Pişirme,16,0
6-8 kişilik,10dk Hazırlık,15dk Pişirme,25,0
6-8 kişilik,30dk Hazırlık,30dk Pişirme,920,5
4-6 kişilik,20dk Hazırlık,25dk Pişirme,115,0
6-8 kişilik,30dk Hazırlık,40dk Pişirme,304,0
4-6 kişilik,25dk Hazırlık,15dk Pişirme,25,2
4-6 kişilik,15dk Hazırlık,30dk Pişirme,50,0
4-6 kişilik,15dk Hazırlık,15dk Pişirme,8,0
6-8 kişilik,10dk Hazırlık,30dk Pişirme,263,0
4-6 kişilik,10dk Hazırlık,25dk Pişirme,20,0
6-8 kişilik,15dk Hazırlık,15dk Pişirme,1224,5
2-4 kişilik,5dk Hazırlık,25dk Pişirme,12,0
2-4 kişilik,10dk Hazırlık,10dk Pişirme,38,0
2-4 kişilik,10dk Hazırlık,20dk Pişirme,43,0
6-8 kişilik,20dk Hazırlık,25dk Pişirme,13,0
4-6 kişilik,10dk Hazırlık,20dk Pişirme,14,0
4-6 kişilik,15dk Hazırlık,20dk Pişirme,3bin,7
4-6 kişilik,5dk Hazırlık,25dk Pişirme,154,0
4-6 kişilik,25dk Hazırlık,35dk Pişirme,21,0
4-6 kişilik,20dk Hazırlık,30dk Pişirme,82,0
2-4 kişilik,40dk Hazırlık,20dk Pişirme,31,0
2-4 kişilik,5dk Hazırlık,15dk Pişirme,254,0
4-6 kişilik,20dk Hazırlık,1 saat Pişirme,60,5
6-8 kişilik,10dk Hazırlık,15dk Pişirme,272,0
2-4 kişilik,35dk Hazırlık,30dk Pişirme,372,0
6-8 kişilik,25dk Hazırlık,30dk Pişirme,2bin,6
8-10 kişilik,15dk Hazırlık,25dk Pişirme,36,0
6-8 kişilik,15dk Hazırlık,20dk Pişirme,17,0
4-6 kişilik,20dk Hazırlık,15dk Pişirme,1821,3
2-4 kişilik,30dk Hazırlık,45dk Pişirme,12,0
4-6 kişilik,20dk Hazırlık,40dk Pişirme,19,0
4-6 kişilik,10dk Hazırlık,30dk Pişirme,20,0
4-6 kişilik,10dk Hazırlık,45dk Pişirme,26,0
4-6 kişilik,20dk Hazırlık,25dk Pişirme,37,0
2-4 kişilik,15dk Hazırlık,1 saat Pişirme,61,2
2-4 kişilik,45dk Hazırlık,30dk Pişirme,17,0
6-8 kişilik,15dk Hazırlık,20dk Pişirme,696,4
2-4 kişilik,30dk Hazırlık,50dk Pişirme,22,0
4-6 kişilik,30dk Hazırlık,40dk Pişirme,2bin,5
2-4 kişilik,5dk Hazırlık,20dk Pişirme,44,0
2-4 kişilik,15dk Hazırlık,40dk Pişirme,17,0
10-12 kişilik,40dk Hazırlık,30dk Pişirme,40,0
2-4 kişilik,10dk Hazırlık,10dk Pişirme,22,0
2-4 kişilik,10dk Hazırlık,20dk Pişirme,15,0
2-4 kişilik,20dk Hazırlık,5dk Pişirme,6,0
4-6 kişilik,30dk Hazırlık,15dk Pişirme,24,0
6-8 kişilik,5dk Hazırlık,15dk Pişirme,21,0
4-6 kişilik,1 saat Hazırlık,35dk Pişirme,14,0
2-4 kişilik,5dk Hazırlık,1 saat Pişirme,18,0
4-6 kişilik,15dk Hazırlık,20dk Pişirme,19,0
4-6 kişilik,1 saat 30dk Hazırlık,1 saat Pişirme,7,0
1-2 kişilik,30dk Hazırlık,5dk Pişirme,13,0
1-2 kişilik,5dk Hazırlık,25dk Pişirme,13,0
4-6 kişilik,10dk Hazırlık,5dk Pişirme,13,0
8-10 kişilik,10dk Hazırlık,15dk Pişirme,1400,7
6-8 kişilik,10dk Hazırlık,35dk Pişirme,1565,0
2-4 kişilik,30dk Hazırlık,40dk Pişirme,56,0
2-4 kişilik,5dk Hazırlık,15dk Pişirme,48,2
2-4 kişilik,15dk Hazırlık,20dk Pişirme,230,2
2-4 kişilik,15dk Hazırlık,10dk Pişirme,7,0
2-4 kişilik,20dk Hazırlık,45dk Pişirme,237,0
1-2 kişilik,30dk Hazırlık,30dk Pişirme,7,0
4-6 kişilik,35dk Hazırlık,1 saat 30dk Pişirme,35,0
4-6 kişilik,5dk Hazırlık,25dk Pişirme,31,0
2-4 kişilik,10dk Hazırlık,20dk Pişirme,35,0
2-4 kişilik,30dk Hazırlık,40dk Pişirme,18,9
4-6 kişilik,10dk Hazırlık,30dk Pişirme,32,0
2-4 kişilik,10dk Hazırlık,20dk Pişirme,38,0
1-2 kişilik,10dk Hazırlık,25dk Pişirme,32,0
4-6 kişilik,10dk Hazırlık,15dk Pişirme,122,0
4-6 kişilik,20dk Hazırlık,15dk Pişirme,50,0
2-4 kişilik,10dk Hazırlık,25dk Pişirme,24,0
1-2 kişilik,1 saat 30dk Hazırlık,30dk Pişirme,9,0
4-6 kişilik,5dk Hazırlık,25dk Pişirme,930,0
6-8 kişilik,25dk Hazırlık,25dk Pişirme,14,0
6-8 kişilik,15dk Hazırlık,15dk Pişirme,2bin,6
4-6 kişilik,15dk Hazırlık,40dk Pişirme,61,0
4-6 kişilik,35dk Hazırlık,35dk Pişirme,37,0
4-6 kişilik,20dk Hazırlık,20dk Pişirme,12,0
2-4 kişilik,30dk Hazırlık,20dk Pişirme,25,0
4-6 kişilik,15dk Hazırlık,25dk Pişirme,530,0
2-4 kişilik,5dk Hazırlık,35dk Pişirme,6,0
4-6 kişilik,15dk Hazırlık,35dk Pişirme,18,0
4-6 kişilik,15dk Hazırlık,20dk Pişirme,5,0
4-6 kişilik,10dk Hazırlık,15dk Pişirme,14,0
2-4 kişilik,10dk Hazırlık,20dk Pişirme,13,1
2-4 kişilik,5dk Hazırlık,20dk Pişirme,33,0
2-4 kişilik,10dk Hazırlık,30dk Pişirme,34,0
4-6 kişilik,15dk Hazırlık,5dk Pişirme,8,0
2-4 kişilik,5dk Hazırlık,25dk Pişirme,240,0
4-6 kişilik,20dk Hazırlık,25dk Pişirme,306,0
4-6 kişilik,10dk Hazırlık,40dk Pişirme,26,0
4-6 kişilik,10dk Hazırlık,25dk Pişirme,26,0
8-10 kişilik,1 saat 30dk Hazırlık,1 saat Pişirme,145,0
4-6 kişilik,20dk Hazırlık,25dk Pişirme,49,0
2-4 kişilik,10dk Hazırlık,20dk Pişirme,49,0
6-8 kişilik,15dk Hazırlık,55dk Pişirme,35,0
